#{"t_start": 1600182218.320713, "env_id": null}
r,l,t
10.0,226,4277.177866
5.0,104,4283.177653
5.0,107,4289.352074
9.0,200,4300.91097
5.0,114,4307.478755
5.0,108,4313.702656
4.0,103,4319.966372
4.0,80,4324.88584
2.0,62,4328.48551
10.0,166,4338.141243
6.0,125,4345.677101
1.0,61,4349.23322
4.0,109,4355.598231
4.0,71,4359.716556
4.0,101,4365.596045
4.0,103,4371.614645
3.0,60,4375.118011
6.0,76,4379.544169
4.0,80,4384.230254
4.0,117,4391.038179
3.0,111,4397.504641
5.0,103,4403.518744
4.0,77,4408.005018
7.0,142,4416.268946
3.0,76,4420.701177
4.0,71,4424.842398
4.0,101,4430.748912
4.0,68,4434.69992
3.0,75,4439.05716
5.0,116,4445.814875
10.0,294,4462.959727
2.0,76,4467.391025
5.0,109,4473.731249
4.0,101,4479.607939
5.0,107,4485.837561
6.0,101,4491.725361
5.0,108,4498.04856
4.0,92,4503.407142
8.0,201,4515.133241
3.0,107,4521.353237
1.0,60,4524.843726
4.0,109,4531.167867
6.0,147,4539.752565
3.0,75,4544.143187
6.0,101,4550.009874
3.0,79,4554.605215
5.0,108,4560.9031
5.0,104,4566.990306
2.0,63,4570.639594
5.0,112,4577.129671
2.0,61,4580.651515
2.0,77,4585.109149
3.0,74,4589.413819
4.0,69,4593.413055
4.0,109,4599.759655
4.0,114,4606.421441
3.0,73,4610.684222
4.0,76,4615.119929
4.0,75,4619.476034
4.0,139,4627.541042
5.0,104,4633.603651
5.0,83,4638.424652
3.0,72,4642.600348
4.0,78,4647.166338
4.0,95,4652.716879
4.0,88,4657.868429
4.0,84,4662.771191
2.0,68,4666.743116
2.0,67,4670.641238
5.0,112,4677.147146
5.0,108,4683.446244
8.0,143,4691.798879
4.0,76,4696.223795
3.0,75,4700.582604
4.0,125,4707.839788
10.0,278,4724.069411
4.0,76,4728.483825
4.0,76,4732.908694
2.0,66,4736.744817
9.0,168,4746.542474
5.0,87,4751.621213
4.0,104,4757.680758
4.0,68,4761.646045
13.0,290,4778.533846
4.0,92,4783.890959
2.0,70,4787.984312
4.0,102,4793.911402
6.0,141,4802.136674
5.0,76,4806.606597
5.0,83,4811.451017
4.0,75,4815.840874
3.0,92,4821.191314
5.0,101,4827.092874
3.0,128,4834.568675
4.0,107,4840.823961
4.0,76,4845.246377
3.0,85,4850.17612
3.0,70,4854.239573
4.0,108,4860.526834
4.0,104,4866.586462
2.0,83,4871.4342
4.0,86,4876.454148
4.0,69,4880.472551
3.0,89,4885.671111
5.0,128,4893.119502
3.0,75,4897.477185
5.0,82,4902.245771
3.0,80,4906.914703
6.0,142,4915.16727
3.0,78,4919.708444
5.0,102,4925.664567
3.0,69,4929.695606
5.0,87,4934.778241
3.0,71,4938.918919
4.0,104,4945.009924
4.0,78,4949.545742
6.0,129,4957.121148
2.0,68,4961.073509
2.0,85,4966.035952
6.0,109,4972.391403
5.0,103,4978.407237
2.0,67,4982.347071
3.0,110,4988.784708
1.0,61,4992.339606
8.0,207,5004.369983
14.0,264,5019.766177
4.0,124,5026.989789
3.0,71,5031.132385
7.0,166,5040.83525
8.0,141,5049.057979
4.0,83,5053.925934
5.0,108,5060.216729
5.0,127,5067.618345
4.0,80,5072.301295
4.0,112,5079.071292
2.0,68,5083.025029
4.0,101,5088.923868
6.0,128,5096.385753
4.0,88,5101.519312
9.0,158,5110.762735
6.0,88,5115.89914
3.0,75,5120.274352
5.0,103,5126.283865
16.0,481,5154.345297
5.0,90,5159.572562
4.0,85,5164.531588
4.0,82,5169.30883
3.0,87,5174.36182
5.0,109,5180.709046
7.0,164,5190.242553
5.0,128,5197.692729
3.0,95,5203.246254
3.0,75,5207.602982
