#{"t_start": 1600111101.9033527, "env_id": null}
r,l,t
6.0,112,3008.385598
6.0,101,3011.954389
6.0,103,3012.93486
6.0,102,3016.480427
6.0,101,3020.052972
6.0,124,3023.827897
4.0,109,3027.463224
6.0,123,3031.241741
7.0,127,3035.041599
6.0,112,3038.701523
6.0,123,3042.503444
6.0,101,3043.446507
8.0,228,3050.838992
6.0,108,3054.477718
6.0,103,3058.075203
6.0,101,3061.638681
7.0,129,3065.498276
6.0,108,3066.519224
7.0,128,3070.385353
11.0,222,3077.752468
5.0,101,3081.33202
6.0,112,3085.033291
4.0,101,3088.632011
11.0,222,3093.546052
10.0,213,3100.914737
5.0,108,3104.506399
11.0,224,3111.74469
4.0,123,3115.449375
6.0,103,3116.379378
16.0,262,3123.944911
11.0,231,3131.271505
6.0,123,3134.965242
6.0,125,3138.69574
6.0,124,3142.422955
12.0,238,3149.775096
5.0,109,3153.377137
6.0,102,3156.891429
6.0,123,3160.577188
12.0,238,3165.362028
6.0,127,3169.115617
6.0,125,3172.811912
11.0,240,3180.203389
8.0,152,3184.23552
6.0,124,3187.959632
6.0,132,3191.766676
3.0,60,3194.911533
12.0,238,3202.327632
6.0,101,3205.831429
14.0,242,3210.630156
8.0,143,3217.133389
6.0,144,3221.032551
6.0,107,3224.608301
6.0,103,3225.565775
8.0,141,3229.447565
12.0,241,3236.832945
18.0,272,3244.48138
10.0,222,3251.751463
11.0,239,3259.284109
6.0,123,3263.001361
12.0,249,3270.480292
8.0,141,3274.344558
14.0,254,3281.845942
12.0,238,3289.211233
6.0,103,3292.758287
6.0,101,3296.359953
6.0,108,3297.353147
6.0,101,3300.874648
4.0,69,3304.087408
12.0,235,3311.457064
6.0,101,3312.370294
6.0,101,3315.897993
6.0,101,3319.432017
5.0,101,3322.953251
5.0,101,3323.870215
5.0,101,3327.40901
3.0,60,3330.589236
6.0,109,3334.202927
5.0,109,3335.22425
5.0,105,3338.787938
2.0,60,3341.963374
6.0,101,3342.870062
3.0,68,3346.096553
6.0,102,3349.651781
6.0,101,3353.177688
6.0,101,3354.095707
2.0,60,3357.253443
2.0,60,3357.806718
3.0,95,3361.312717
5.0,107,3364.942931
7.0,129,3368.721112
15.0,256,3376.333037
6.0,108,3379.932581
11.0,216,3384.526158
6.0,109,3388.15105
6.0,108,3391.76495
6.0,101,3395.594286
6.0,112,3399.663629
6.0,108,3403.765226
6.0,103,3404.907228
5.0,132,3408.937535
2.0,60,3412.26943
7.0,132,3416.243241
6.0,111,3420.049115
6.0,112,3423.841827
6.0,103,3427.607434
4.0,69,3428.303133
2.0,60,3431.583441
4.0,69,3432.256359
4.0,83,3435.783447
4.0,87,3436.622361
4.0,68,3440.008802
4.0,81,3443.490526
6.0,114,3444.599629
4.0,85,3448.122722
9.0,140,3452.227814
5.0,101,3455.930278
4.0,69,3459.280112
8.0,143,3463.337142
2.0,60,3463.929707
2.0,60,3467.195628
2.0,60,3467.769121
2.0,60,3471.012115
6.0,123,3474.863453
6.0,115,3475.958706
8.0,144,3482.71677
5.0,108,3483.763474
4.0,69,3487.144315
4.0,79,3490.614721
12.0,238,3495.596492
6.0,102,3499.281508
4.0,131,3503.188415
6.0,110,3506.907454
6.0,108,3510.562077
7.0,125,3514.408665
6.0,101,3518.022448
6.0,110,3521.722816
5.0,110,3522.764872
6.0,108,3526.43768
4.0,96,3530.010502
6.0,101,3534.101882
6.0,110,3537.784144
7.0,128,3541.679679
6.0,112,3545.442636
5.0,110,3546.493703
7.0,126,3550.354644
6.0,103,3553.950466
4.0,94,3557.465528
4.0,102,3561.013986
6.0,112,3564.660845
8.0,141,3568.551541
6.0,101,3569.472348
6.0,107,3573.046445
7.0,141,3576.947425
11.0,241,3584.362164
5.0,102,3587.910345
7.0,127,3591.676756
8.0,150,3595.655949
6.0,107,3599.265295
12.0,233,3606.677861
1.0,60,3607.233429
6.0,108,3610.799917
19.0,473,3625.5456
6.0,101,3629.065712
6.0,101,3629.996666
8.0,149,3636.538331
8.0,149,3640.529752
6.0,126,3644.296819
6.0,112,3647.942806
6.0,108,3651.552068
6.0,128,3655.333877
4.0,133,3659.156364
12.0,230,3663.832024
4.0,125,3667.598252
5.0,128,3671.400653
21.0,496,3686.345284
4.0,108,3689.923815
7.0,127,3693.657877
4.0,108,3697.251384
6.0,101,3700.750916
3.0,88,3701.547611
8.0,226,3708.823518
4.0,128,3712.584048
6.0,141,3716.457187
8.0,139,3720.349691
8.0,143,3724.246618
6.0,108,3727.831625
6.0,101,3731.35549
4.0,88,3734.762065
2.0,60,3735.300255
8.0,141,3739.174416
8.0,144,3743.086298
16.0,276,3753.353242
4.0,107,3754.323366
2.0,60,3757.466655
8.0,150,3761.407676
4.0,69,3764.638077
2.0,60,3765.201498
2.0,60,3768.328584
8.0,150,3772.245381
2.0,61,3772.806597
4.0,108,3776.410862
11.0,230,3783.679543
10.0,217,3790.851717
6.0,150,3794.823157
12.0,230,3802.105801
2.0,60,3802.644117
6.0,150,3806.639628
14.0,463,3821.527149
6.0,128,3825.278927
9.0,214,3829.830105
11.0,216,3837.01443
8.0,149,3840.96529
12.0,222,3848.17872
6.0,141,3852.070353
5.0,108,3855.713595
13.0,264,3863.453571
10.0,230,3870.906151
11.0,230,3878.397038
4.0,124,3882.22965
6.0,112,3883.304672
6.0,141,3889.991014
16.0,481,3902.55448
5.0,107,3906.267026
4.0,130,3910.203444
15.0,445,3925.138877
8.0,141,3929.173625
12.0,223,3936.631262
15.0,458,3948.984898
4.0,69,3952.289345
9.0,141,3956.285522
10.0,211,3960.948891
7.0,128,3964.824561
22.0,498,3980.092991
2.0,60,3983.344902
3.0,69,3983.987879
4.0,125,3987.832218
8.0,150,3991.863583
13.0,451,4006.324657
7.0,131,4010.128992
7.0,125,4013.845856
7.0,125,4017.569091
17.0,446,4029.407376
5.0,107,4033.008667
7.0,126,4036.756985
12.0,231,4044.02274
6.0,143,4047.898973
6.0,108,4051.4567
7.0,128,4055.202541
4.0,107,4058.813188
5.0,110,4062.422002
8.0,151,4066.395282
6.0,142,4070.290927
6.0,150,4074.237956
5.0,106,4077.790097
7.0,126,4081.52937
11.0,234,4088.857912
8.0,142,4092.732321
5.0,107,4096.30415
8.0,143,4100.193447
18.0,455,4112.090519
19.0,463,4126.89972
